date,retweets,likes
2013-07-25,1464,1222
2013-07-26,1378,1209
2013-07-27,147,136
2013-07-28,59,55
2013-07-29,3293,2081
2013-07-30,3754,3235
2013-07-31,3055,1837
2013-08-01,4081,2870
2013-08-02,3829,2039
2013-08-03,31,21
2013-08-04,25,8
2013-08-05,3258,1689
2013-08-06,6078,2663
2013-08-07,2688,1744
2013-08-08,1119,682
2013-08-09,7443,8944
2013-08-10,107,78
2013-08-11,344,246
2013-08-12,1318,690
2013-08-13,5268,6878
2013-08-14,1593,1082
2013-08-15,1935,1660
2013-08-16,4503,5447
2013-08-17,891,727
2013-08-18,555,421
2013-08-19,6095,4549
2013-08-20,2178,1569
2013-08-21,3362,2107
2013-08-22,3999,3805
2013-08-23,132,120
2013-08-24,50,43
2013-08-25,4119,5640
2013-08-26,1204,919
2013-08-27,416,426
2013-08-28,5041,4414
2013-08-29,59128,45352
2013-08-30,30267,22693
2013-08-31,270421,219522
2013-09-01,3704,3847
2013-09-02,2338,1723
2013-09-03,14427,13014
2013-09-04,26853,24425
2013-09-05,110180,90658
2013-09-06,9498,8155
2013-09-07,14110,9876
2013-09-08,1339,1013
2013-09-09,17766,14431
2013-09-10,6780,8093
2013-09-11,16978,23971
2013-09-12,23614,18893
2013-09-13,4191,3921
2013-09-14,397,247
2013-09-15,3303,4249
2013-09-16,6519,5770
2013-09-17,2554,1294
2013-09-18,20745,20822
2013-09-19,32793,49906
2013-09-20,16106,24240
2013-09-21,1637,1363
2013-09-22,656,494
2013-09-23,4773,3532
2013-09-24,6098,4453
2013-09-25,6230,4236
2013-09-26,3378,1658
2013-09-27,2683,1855
2013-09-28,525,352
2013-09-29,794,496
2013-09-30,1803,920
2013-10-01,5441,2599
2013-10-02,4390,2310
2013-10-03,3345,2002
2013-10-04,3061,1675
2013-10-05,149,167
2013-10-06,30,33
2013-10-07,91560,77616
2013-10-08,17950,14929
2013-10-09,8553,5241
2013-10-10,4073,1956
2013-10-11,2272,1481
2013-10-12,931,415
2013-10-13,128,113
2013-10-14,513,422
2013-10-15,1547,1394
2013-10-16,195,199
2013-10-17,2510,1645
2013-10-18,4891,4111
2013-10-19,1489,877
2013-10-20,220,249
2013-10-21,1869,1165
2013-10-22,2074,1720
2013-10-23,4085,2951
2013-10-24,1855,1691
2013-10-25,1372,1487
2013-10-26,1464,1053
2013-10-27,2890,3357
2013-10-28,1565,989
2013-10-29,4706,3469
2013-10-30,4789,3518
2013-10-31,4297,3152
2013-11-01,2092,2148
2013-11-02,655,531
2013-11-04,872,639
2013-11-05,1999,1824
2013-11-06,3806,2817
2013-11-07,4570,4273
2013-11-08,13231,10991
2013-11-09,1355,1248
2013-11-11,23940,17159
2013-11-12,3013,2019
2013-11-13,3071,2020
2013-11-14,6077,6048
2013-11-15,4218,3350
2013-11-16,1224,710
2013-11-17,15,17
2013-11-18,7333,6482
2013-11-19,3923,2749
2013-11-20,3116,2215
2013-11-21,7220,6496
2013-11-22,8720,10014
2013-11-23,1916,1972
2013-11-24,1325,1484
2013-11-25,17754,18870
2013-11-26,3489,2510
2013-11-27,74278,83102
2013-11-28,1617,2018
2013-11-29,405,526
2013-11-30,1414,1127
2013-12-01,698,744
2013-12-02,1980,1354
2013-12-03,2846,2756
2013-12-04,2600,2555
2013-12-05,4294,2795
2013-12-06,7158,6279
2013-12-07,1440,1417
2013-12-08,2489,2669
2013-12-09,2833,2576
2013-12-10,2919,2269
2013-12-11,1886,1794
2013-12-12,16795,18669
2013-12-13,2039,1125
2013-12-14,11256,9438
2013-12-15,2712,2093
2013-12-16,566,528
2013-12-17,2969,3004
2013-12-18,3678,3115
2013-12-19,6679,5396
2013-12-20,8985,9805
2013-12-21,1469,1320
2013-12-22,714,859
2013-12-23,3150,2878
2013-12-24,8457,11327
2013-12-25,9931,9933
2013-12-26,2048,2174
2013-12-27,2187,1893
2013-12-28,2522,2083
2013-12-30,26462,20529
2013-12-31,3752,3294
2014-01-01,854,696
2014-01-02,9633,8019
2014-01-03,2323,1881
2014-01-04,155,119
2014-01-05,60,87
2014-01-06,1657,1448
2014-01-07,2076,1733
2014-01-08,1286,1138
2014-01-09,45032,25111
2014-01-10,2176,1823
2014-01-11,1544,2080
2014-01-12,615,796
2014-01-13,5367,4924
2014-01-14,2565,2492
2014-01-15,1351,1559
2014-01-16,6170,7660
2014-01-17,1520,1975
2014-01-18,864,1268
2014-01-20,3450,3253
2014-01-22,1738,1886
2014-01-23,2186,1809
2014-01-24,1196,1087
2014-01-25,41,65
2014-01-26,3712,2753
2014-01-27,1942,1591
2014-01-28,3152,2561
2014-01-29,6509,7012
2014-01-30,6511,8217
2014-01-31,2401,2509
2014-02-01,56,60
2014-02-02,423,582
2014-02-03,2957,3417
2014-02-04,2058,1499
2014-02-05,4728,4504
2014-02-06,607,508
2014-02-08,121,133
2014-02-10,2108,2046
2014-02-11,312,190
2014-02-12,1614,1420
2014-02-13,944,996
2014-02-14,1831,2434
2014-02-15,555,602
2014-02-16,237,281
2014-02-17,558,667
2014-02-18,2940,3501
2014-02-19,4300,7018
2014-02-20,2511,5576
2014-02-21,1224,1600
2014-02-22,353,590
2014-02-23,327,617
2014-02-24,4730,5083
2014-02-25,3016,2993
2014-02-26,1851,1499
