Word,Occurance
increased,47
poorly,47
likes,47
int,47
terrorism,47
inflation,47
jerry,47
unbelievable,47
nymag,47
andy,47
league,46
holiday,46
car,46
premiums,46
land,46
supporting,46
promised,46
wise,46
decisions,46
network,46
amazon,46
vs,46
consumer,46
tired,46
period,46
independent,46
willing,46
earth,46
african,46
graham,46
throughout,46
elizabeth,46
condolences,46
protection,46
largest,46
marklevinshow,46
path,46
council,46
turning,46
pence,46
reasons,45
blame,45
aid,45
shut,45
push,45
recovery,45
daughter,45
autism,45
planning,45
gang,45
shortly,45
unable,45
muslim,45
breaking,45
journal,45
rebuild,45
enthusiasm,45
we’re,45
harder,45
helped,45
investment,45
prior,45
agschneiderman,45
stands,45
rapidly,45
tonights,45
reporters,45
paris,45
gift,45
promise,44
democratic,44
allowing,44
pouring,44
location,44
mother,44
snowden,44
testimony,44
rooms,44
risk,44
endorsed,44
sounds,44
draintheswamp,44
mittromneys,44
mccabe,44
rise,44
mitch,44
shame,44
official,44
professional,44
football,44
returned,44
opposite,44
wasted,44
navy,43
subject,43
district,43
firing,43
husband,43
lincoln,43
garbage,43
notice,43
elections,43
what’s,43
finest,43
nbcnews,43
bretbaier,43
surprised,43
exclusive,43
trumpnewyork,43
mississippi,43
reviews,43
july,43
bankrupt,43
inaccurate,43
realdonaldtrumps,43
followers,43
prove,43
gonna,43
congressional,43
september,43
unlike,43
info,43
missing,43
admit,43
organization,43
interests,43
online,42
cares,42
testify,42
products,42
answers,42
ocean,42
pretty,42
numerous,42
rivers,42
nafta,42
song,42
leezagibbons,42
quality,42
site,42
nomination,42
accomplished,42
ambassador,42
loving,42
explain,42
tells,42
worlds,42
sugar,42
patriot,42
dog,42
competition,42
abuse,42
latest,42
half,42
vietnam,42
officially,42
tennessee,42
ingrahamangle,42
voice,42
dubai,41
excuse,41
stewart,41
clearly,41
i’ll,41
charges,41
disgraceful,41
wallace,41
october,41
enter,41
marine,41
trumpgolfla,41
liar,41
islamic,41
medicare,41
stopping,41
remarks,41
mistakes,41
purchase,41
clintons,41
trumpsoho,41
tour,41
card,41
constantly,41
overrated,41
merry,41
creating,41
features,41
bedminster,41
storm,41
lord,41
con,41
o,41
leads,40
promises,40
ap,40
country’s,40
campaigning,40
performance,40
mcconnell,40
properly,40
smarter,40
vicious,40
fools,40
guts,40
showing,40
yours,40
puts,40
trumplasvegas,40
documents,40
derek,40
fraudulent,40
amounts,40
trumpscotland,40
karl,40
study,40
roberts,40
issues,40
refuses,40
oann,40
el,40
kavanaugh,40
date,40
brother,40
loyal,40
goals,40
vince,40
wanting,40
holding,40
gary,40
caused,39
brady,39
decided,39
army,39
request,39
grow,39
refused,39
passing,39
currently,39
fairly,39
exist,39
hair,39
radio,39
pastor,39
supports,39
bigleaguetruth,39
light,39
ground,39
absolute,39
lisa,39
thegarybusey,39
add,39
challenge,39
baltimore,39
moment,39
deep,39
c,39
area,39
considered,39
addition,39
personally,39
sales,39
wear,39
tedcruz,39
there’s,39
killer,39
scottish,39
anncoulter,39
mikeandmike,39
difficult,39
rose,39
town,39
st,39
email,38
minnesota,38
hello,38
restaurant,38
driving,38
die,38
access,38
direction,38
bank,38
amspec,38
mac,38
example,38
changing,38
closed,38
additional,38
regulations,38
learned,38
httpvotegop,38
wouldn’t,38
april,38
flights,38
brings,38
foxbusiness,38
ending,38
hosted,38
wednesday,38
plenty,38
changes,38
therefore,38
gain,38
informed,38
cia,38
ban,38
island,38
discussed,38
awards,38
personal,38
apology,38
attacking,38
possibly,38
prosperity,37
wild,37
strzok,37
share,37
fisa,37
owner,37
self,37
pleasure,37
bipartisan,37
account,37
lawsuit,37
elect,37
greatness,37
birth,37
wasnt,37
jack,37
dallas,37
jay,37
dealing,37
beating,37
pols,37
paper,37
spot,37
indeed,37
approve,37
shape,37
counsel,37
dr,37
vacation,37
howard,37
boss,37
thanksgiving,37
banks,37
kenyamoore,37
falling,37
modern,37
ashamed,37
strategy,37
coach,37
joint,37
govt,37
gopdebate,36
tuckercarlson,36
sessions,36
danny,36
harassment,36
broke,36
considering,36
base,36
rallies,36
liberty,36
prison,36
break,36
folks,36
values,36
deleted,36
interviews,36
fear,36
extraordinary,36
pray,36
imwithyou,36
editorial,36
transcripts,36
effective,36
moron,36
doonbeg,36
refuse,36
jail,36
server,36
style,36
agent,36
contract,36
toronto,36
loopholes,36
plane,36
appearance,36
amount,36
rebuilding,36
rising,36
tim,36
missusa,36
fiscal,36
raising,36
cash,36
aliens,35
fitn,35
speeches,35
regarding,35
train,35
annual,35
lyin,35
arena,35
silent,35
catch,35
actions,35
cars,35
shouldnt,35
original,35
visiting,35
test,35
finish,35
talked,35
member,35
sleep,35
age,35
weakness,35
classified,35
nominee,35
wake,35
labor,35
weve,35
benefit,35
source,35
impossible,35
dad,35
thomas,35
represent,35
tiger,35
fixed,35
tougher,35
hates,34
magnificent,34
laugh,34
productive,34
dope,34
joining,34
parts,34
charlotte,34
remains,34
dow,34
accept,34
selling,34
visited,34
cuomo,34
spa,34
admitted,34
barriers,34
djt,34
average,34
armed,34
snl,34
added,34
figure,34
n,34
forgotten,34
trumptrain,34
h,34
damage,34
conflicted,34
lawrence,34
dumbest,34
couple,34
round,34
ability,34
chucktodd,34
elite,34
ceo,33
landed,33
drive,33
nj,33
previous,33
doj,33
august,33
tbt,33
anthem,33
kerry,33
inspired,33
apart,33
howardstern,33
strange,33
core,33
hitting,33
demdebate,33
none,33
courts,33
closing,33
ways,33
supporter,33
kept,33
viewers,33
continuing,33
road,33
wars,33
mikepence,33
interested,33
hurting,33
venezuela,33
pushed,33
judgejeanine,33
hole,33
emergency,33
trumptoronto,33
provide,33
admire,33
forces,33
airport,33
agents,33
thrilled,33
em,33
battle,33
ballot,33
covered,33
dt,33
virtually,33
individual,33
discredited,33
mariabartiromo,33
sector,33
einstein,33
churchill,33
series,33
judgement,32
ineffective,32
certainly,32
we’ve,32
graydon,32
toward,32
completed,32
iq,32
krauthammer,32
pays,32
parents,32
wisdom,32
attacked,32
strongest,32
choose,32
chinas,32
levels,32
buffalo,32
attitude,32
bay,32
stayed,32
ms13,32
lordsugar,32
above,32
planned,32
nowhere,32
liked,32
hawaii,32
delivered,32
jealous,32
various,32
ericbolling,32
hispanic,32
incompetence,32
bc,32
slow,32
restore,32
giant,32
education,32
premiere,32
increases,31
penalty,31
taxpayers,31
haven’t,31
httpwwwdonaldjtrumpcom,31
substantially,31
representing,31
bias,31
drudgereport,31
hispanics,31
services,31
larger,31
cuban,31
busy,31
per,31
crippled,31
ally,31
schedule,31
phoenix,31
embassy,31
critical,31
research,31
celebrating,31
aren’t,31
protesters,31
episodes,31
movie,31
planet,31
match,31
today’s,31
nation’s,31
vice,31
directly,31
rush,31
hired,31
havent,31
damn,31
communities,31
delegates,31
blew,31
trumptuesday,31
albert,31
wishing,31
coal,31
ripping,31
design,31
cadillacchamp,31
extremely,31
boycott,31
include,31
sgt,31
cnnpolitics,31
achievement,31
students,31
receive,31
ryan,31
believes,30
lateshow,30
writing,30
jersey,30
marcorubio,30
obviously,30
meantime,30
taliban,30
honesty,30
weather,30
walk,30
guard,30
pride,30
australia,30
pete,30
teams,30
served,30
citizen,30
heads,30
kurds,30
guilty,30
markets,30
farm,30
quo,30
however,30
christian,30
transparency,30
buildings,30
six,30
trumpturnberry,30
shown,30
legend,30
sooo,30
ticket,30
hatred,30
london,30
avenue,30
tariff,30
scale,30
supported,30
jones,30
groups,30
plant,30
youd,30
duty,30
legendary,30
netanyahu,30
allies,30
writer,30
sweepstweet,30
huffingtonpost,30
requires,30
ricksantorum,30
winston,30
thehill,30
m,30
shifty,30
investigate,30
stone,30
