Word,Occurance,Type-of-word
dirty,52,NN
fame,52,NN
behalf,52,JJ
standard,52,JJ
joanrivers,52,NNS
rid,52,JJ
packed,52,JJ
reserve,52,NN
warren,52,JJ
mcuban,52,JJ
property,52,NN
knowledge,52,NN
flotus,52,NN
—,51,NNP
gdp,51,NN
speaker,51,NN
winners,51,NNS
double,51,JJ
result,51,NN
cute,51,NN
carter,51,JJ
boston,51,NN
spy,51,NN
mine,51,NN
january,51,JJ
solve,51,NN
deserve,51,NN
difference,51,NN
cold,50,JJ
impeach,50,NN
stage,50,NN
egypt,50,JJ
guest,50,NN
climate,50,NN
vanityfair,50,NN
guys,50,NNS
nflcommish,50,JJ
foundation,50,NN
lawyers,50,NNS
events,50,NNS
gov,50,JJ
championship,50,NN
ones,50,NNS
review,50,NN
fool,49,NN
grand,49,JJ
consider,49,NN
green,49,JJ
beauty,49,NN
quote,49,NN
guns,49,NNS
somebody,49,NN
representatives,49,NNS
rock,49,NN
alltime,49,NN
quit,49,NN
forbes,49,JJ
position,49,NN
they’re,49,JJ
terror,49,NN
danscavino,49,NN
concerned,49,JJ
ronald,49,NN
coast,49,NN
afghanistan,49,NN
responsible,49,JJ
la,49,NN
deliver,48,NN
oval,48,JJ
memorial,48,JJ
criminals,48,NNS
sound,48,NN
usual,48,JJ
present,48,JJ
mainstream,48,JJ
industry,48,NN
photo,48,JJ
rick,48,NN
newsmax,48,NN
opportunities,48,NNS
judges,48,NNS
kids,48,NNS
arent,48,JJ
ben,48,NN
tie,48,JJ
apple,48,NN
sue,48,NN
henry,48,NN
central,48,JJ
living,48,NN
geraldorivera,48,NN
ukrainian,48,JJ
letter,48,NN
usmca,47,JJ
places,47,NNS
european,47,JJ
attention,47,NN
fought,47,JJ
voter,47,NN
sanctuary,47,JJ
infrastructure,47,NN
schneiderman,47,JJ
iranian,47,JJ
rove,47,NN
atlantic,47,NN
faith,47,NN
prepared,47,JJ
couldn’t,47,NN
libya,47,JJ
form,47,NN
keystone,47,NN
fabulous,47,JJ
likes,47,JJ
int,47,NN
terrorism,47,NN
inflation,47,NN
jerry,47,NN
unbelievable,47,JJ
nymag,47,JJ
andy,47,NN
league,46,NN
holiday,46,NN
car,46,NN
premiums,46,NNS
wise,46,NN
decisions,46,NNS
network,46,NN
amazon,46,NN
vs,46,NN
consumer,46,NN
period,46,NN
independent,46,JJ
willing,46,JJ
earth,46,JJ
african,46,JJ
graham,46,NN
elizabeth,46,JJ
condolences,46,NNS
protection,46,NN
largest,46,JJS
marklevinshow,46,NN
path,46,NN
council,46,NN
pence,46,NN
reasons,45,NNS
aid,45,JJ
shut,45,NN
push,45,JJ
recovery,45,NN
daughter,45,NN
autism,45,NN
gang,45,NN
unable,45,JJ
muslim,45,NN
journal,45,JJ
rebuild,45,NN
enthusiasm,45,NN
we’re,45,NN
harder,45,NN
investment,45,NN
agschneiderman,45,JJ
stands,45,NNS
tonights,45,NNS
reporters,45,NNS
gift,45,NN
promise,44,NN
democratic,44,JJ
location,44,NN
mother,44,NN
snowden,44,JJ
testimony,44,NN
rooms,44,NNS
risk,44,NN
sounds,44,NNS
draintheswamp,44,JJ
mittromneys,44,NNS
rise,44,NN
mitch,44,NN
shame,44,NN
official,44,JJ
professional,44,JJ
football,44,NN
navy,43,JJ
subject,43,JJ
district,43,NN
firing,43,NN
husband,43,NN
lincoln,43,NN
garbage,43,NN
notice,43,NN
elections,43,NNS
finest,43,JJS
nbcnews,43,NNS
bretbaier,43,JJR
surprised,43,JJ
exclusive,43,JJ
trumpnewyork,43,NN
mississippi,43,NN
bankrupt,43,JJ
inaccurate,43,JJ
realdonaldtrumps,43,NNS
followers,43,NNS
gonna,43,JJ
congressional,43,JJ
september,43,NN
info,43,JJ
admit,43,NN
organization,43,NN
interests,43,NNS
cares,42,NNS
products,42,NNS
answers,42,NNS
numerous,42,JJ
rivers,42,NNS
song,42,JJ
leezagibbons,42,NNS
quality,42,NN
site,42,NN
nomination,42,NN
ambassador,42,NN
explain,42,NN
tells,42,NNS
sugar,42,JJ
patriot,42,NN
dog,42,NN
competition,42,NN
latest,42,JJS
half,42,NN
vietnam,42,NN
tennessee,42,JJ
ingrahamangle,42,JJ
voice,42,NN
dubai,41,NN
stewart,41,JJ
i’ll,41,NN
charges,41,NNS
disgraceful,41,JJ
october,41,JJ
enter,41,JJ
marine,41,NN
trumpgolfla,41,NN
liar,41,JJ
islamic,41,JJ
medicare,41,NN
remarks,41,NNS
